,Protein ID (canonical),Gene names,Compartment
1033,Q04721,NOTCH2,Plasma membrane
1034,P16066,NPR1,Plasma membrane
1035,P17342,NPR3,Plasma membrane
1036,Q9Y639,NPTN,Plasma membrane
1037,P78380,OLR1,Plasma membrane
1038,O75781,PALM,Plasma membrane
1039,O14917,PCDH17,Plasma membrane
1040,O60245,PCDH7,Plasma membrane
1041,Q03405,PLAUR,Plasma membrane
1042,Q9UIW2,PLXNA1,Plasma membrane
1043,O75051,PLXNA2,Plasma membrane
1044,O15031,PLXNB2,Plasma membrane
1045,Q9Y4D7,PLXND1,Plasma membrane
1046,Q12913,PTPRJ,Plasma membrane
1047,Q15262,PTPRK,Plasma membrane
1048,P15151,PVR,Plasma membrane
1049,Q92692,PVRL2,Plasma membrane
1050,Q01974,ROR2,Plasma membrane
1051,Q86UN3,RTN4RL2,Plasma membrane
1052,Q9Y666,SLC12A7,Plasma membrane
1053,P53985,SLC16A1,Plasma membrane
1054,O15427,SLC16A3,Plasma membrane
1055,Q15758,SLC1A5,Plasma membrane
1056,Q99808,SLC29A1,Plasma membrane
1057,P11166,SLC2A1,Plasma membrane
1058,P11169,SLC2A3,Plasma membrane
1059,Q9Y6M5,SLC30A1,Plasma membrane
1060,Q15043,SLC39A14,Plasma membrane
1061,Q13433,SLC39A6,Plasma membrane
1062,P08195,SLC3A2,Plasma membrane
1063,Q8N370,SLC43A2,Plasma membrane
1064,Q9Y6M7,SLC4A7,Plasma membrane
1065,P30825,SLC7A1,Plasma membrane
1066,Q01650,SLC7A5,Plasma membrane
1067,Q96BD0,SLCO4A1,Plasma membrane
1068,O00161,SNAP23,Plasma membrane
1069,Q13277,STX3,Plasma membrane
1070,Q12846,STX4,Plasma membrane
1071,O00186,STXBP3,Plasma membrane
1072,Q03167,TGFBR3,Plasma membrane
1073,Q8TAA9,VANGL1,Plasma membrane
1074,Q9UBH6,XPR1,Plasma membrane
1075,Q9C0B5,ZDHHC5,Plasma membrane
